Pressure,Temperature,Phase,Author,Method
4.2,1073,B1,Utsumi (1998),static
3.5,673,B1,Utsumi (1998),static
5.6,673,B1,Utsumi (1998),static
7.8,673,B1,Utsumi (1998),static
8.7,1273,B1,Utsumi (1998),static
7.9,1273,B1,Utsumi (1998),static
7.6,1273,B1,Utsumi (1998),static
7.2,1273,B1,Utsumi (1998),static
6.3,1273,B1,Utsumi (1998),static
5.6,1273,B1,Utsumi (1998),static
4.7,1273,B1,Utsumi (1998),static
9.5,1673,B1,Utsumi (1998),static
8.9,1673,B1,Utsumi (1998),static
8.4,1673,B1,Utsumi (1998),static
7.9,1673,B1,Utsumi (1998),static
6.5,1673,B1,Utsumi (1998),static
5.8,1673,B1,Utsumi (1998),static
5.2,1673,B1,Utsumi (1998),static
0.8,300,B1,Speziale (2001),static
1.3,300,B1,Speziale (2001),static
3.1,300,B1,Speziale (2001),static
4.5,300,B1,Speziale (2001),static
5.7,300,B1,Speziale (2001),static
6.6,300,B1,Speziale (2001),static
7.6,300,B1,Speziale (2001),static
8.3,300,B1,Speziale (2001),static
9.5,300,B1,Speziale (2001),static
10,300,B1,Speziale (2001),static
5.7,300,B1,Speziale (2001),static
8.7,300,B1,Speziale (2001),static
10.6,300,B1,Speziale (2001),static
12.5,300,B1,Speziale (2001),static
16,300,B1,Speziale (2001),static
18.1,300,B1,Speziale (2001),static
20.1,300,B1,Speziale (2001),static
21.9,300,B1,Speziale (2001),static
24,300,B1,Speziale (2001),static
26.4,300,B1,Speziale (2001),static
29.1,300,B1,Speziale (2001),static
31.2,300,B1,Speziale (2001),static
33.2,300,B1,Speziale (2001),static
35.2,300,B1,Speziale (2001),static
37.1,300,B1,Speziale (2001),static
39.4,300,B1,Speziale (2001),static
41.7,300,B1,Speziale (2001),static
43.3,300,B1,Speziale (2001),static
46.8,300,B1,Speziale (2001),static
48.3,300,B1,Speziale (2001),static
50.4,300,B1,Speziale (2001),static
52.2,300,B1,Speziale (2001),static
0,3150,Liquid,Kimura (2017),static
15.3,4350,Liquid,Kimura (2017),static
21.5,4770,Liquid,Kimura (2017),static
25.6,5190,Liquid,Kimura (2017),static
31.5,5360,Liquid,Kimura (2017),static
31.5,5120,Liquid,Kimura (2017),static
39,5550,Liquid,Kimura (2017),static
45.3,5790,Liquid,Kimura (2017),static
0,2870,B1,Kimura (2017),static
15.3,3950,B1,Kimura (2017),static
21.5,4330,B1,Kimura (2017),static
25.6,4610,B1,Kimura (2017),static
31.5,5060,B1,Kimura (2017),static
31.5,4980,B1,Kimura (2017),static
39,4950,B1,Kimura (2017),static
45.3,5410,B1,Kimura (2017),static
3,3800,Liquid,Zhang (2008),static
5,4360,Liquid,Zhang (2008),static
7,4740,Liquid,Zhang (2008),static
3,3600,B1,Zhang (2008),static
5,4040,B1,Zhang (2008),static
7,4340,B1,Zhang (2008),static
3,3700,Liquid,Du (2014),static
11,3950,Liquid,Du (2014),static
27,5100,Liquid,Du (2014),static
