Pressure,Temperature,Phase,Author,Method
89.8,300,CaCl2-like,Sun (2019),static
91.1,300,CaCl2-like,Sun (2019),static
102.1,300,CaCl2-like,Sun (2019),static
103.1,300,CaCl2-like,Sun (2019),static
109.5,300,CaCl2-like,Sun (2019),static
119.3,300,CaCl2-like,Sun (2019),static
123.4,300,CaCl2-like,Sun (2019),static
83.4,1150,CaCl2-like,Sun (2019),static
116,1150,CaCl2-like,Sun (2019),static
64.4,1180,CaCl2-like,Sun (2019),static
95.7,1200,CaCl2-like,Sun (2019),static
108,1200,CaCl2-like,Sun (2019),static
127.3,1200,CaCl2-like,Sun (2019),static
65.1,1580,CaCl2-like,Sun (2019),static
85.6,1450,CaCl2-like,Sun (2019),static
92.7,1550,CaCl2-like,Sun (2019),static
109.9,1500,CaCl2-like,Sun (2019),static
127.3,1500,CaCl2-like,Sun (2019),static
141.2,1600,CaCl2-like,Sun (2019),static
65.7,1700,CaCl2-like,Sun (2019),static
71.8,1750,CaCl2-like,Sun (2019),static
92.8,1800,CaCl2-like,Sun (2019),static
96.9,1700,CaCl2-like,Sun (2019),static
117.8,1700,CaCl2-like,Sun (2019),static
128.3,1700,CaCl2-like,Sun (2019),static
142,1700,CaCl2-like,Sun (2019),static
86.8,1900,CaCl2-like,Sun (2019),static
97.5,1900,CaCl2-like,Sun (2019),static
117.9,1930,CaCl2-like,Sun (2019),static
128.9,1900,CaCl2-like,Sun (2019),static
73.9,2100,CaCl2-like,Sun (2019),static
90.6,2120,CaCl2-like,Sun (2019),static
96.6,2100,CaCl2-like,Sun (2019),static
97.7,2250,CaCl2-like,Sun (2019),static
98.3,2130,CaCl2-like,Sun (2019),static
114.7,2100,CaCl2-like,Sun (2019),static
119.5,2100,CaCl2-like,Sun (2019),static
128.5,2200,CaCl2-like,Sun (2019),static
131.1,2200,CaCl2-like,Sun (2019),static
94,2748,CaCl2-like,Sun (2019),static
109,3071,CaCl2-like,Sun (2019),static
94.1,2622,CaCl2-like,Sun (2019),static
97.1,2551,CaCl2-like,Sun (2019),static
95,2252,CaCl2-like,Sun (2019),static
97.1,2252,CaCl2-like,Sun (2019),static
96.1,1984,CaCl2-like,Sun (2019),static
95,2008,CaCl2-like,Sun (2019),static
94.1,1858,CaCl2-like,Sun (2019),static
94.1,1701,CaCl2-like,Sun (2019),static
94,1559,CaCl2-like,Sun (2019),static
94.1,1425,CaCl2-like,Sun (2019),static
94,1307,CaCl2-like,Sun (2019),static
105.1,2047,CaCl2-like,Sun (2019),static
105.1,1992,CaCl2-like,Sun (2019),static
105.1,1945,CaCl2-like,Sun (2019),static
105.1,1929,CaCl2-like,Sun (2019),static
104.1,1874,CaCl2-like,Sun (2019),static
103,1803,CaCl2-like,Sun (2019),static
102.6,1740,CaCl2-like,Sun (2019),static
102,1654,CaCl2-like,Sun (2019),static
101.1,1575,CaCl2-like,Sun (2019),static
101.1,1504,CaCl2-like,Sun (2019),static
101.1,1378,CaCl2-like,Sun (2019),static
101.1,1307,CaCl2-like,Sun (2019),static
109,1866,CaCl2-like,Sun (2019),static
111,1756,CaCl2-like,Sun (2019),static
112,1732,CaCl2-like,Sun (2019),static
114.1,2055,CaCl2-like,Sun (2019),static
115.1,2252,CaCl2-like,Sun (2019),static
115.1,2228,CaCl2-like,Sun (2019),static
115.1,2189,CaCl2-like,Sun (2019),static
114.3,1622,CaCl2-like,Sun (2019),static
115.1,1457,CaCl2-like,Sun (2019),static
115.1,1323,CaCl2-like,Sun (2019),static
114.1,1157,CaCl2-like,Sun (2019),static
113.8,1000,CaCl2-like,Sun (2019),static
113.6,850,CaCl2-like,Sun (2019),static
121.8,1000,CaCl2-like,Sun (2019),static
122.2,1087,CaCl2-like,Sun (2019),static
122.2,1134,CaCl2-like,Sun (2019),static
123.1,1323,CaCl2-like,Sun (2019),static
123.2,1386,CaCl2-like,Sun (2019),static
124.5,1575,CaCl2-like,Sun (2019),static
124.9,1701,CaCl2-like,Sun (2019),static
125.1,1819,CaCl2-like,Sun (2019),static
126,1906,CaCl2-like,Sun (2019),static
124.1,2031,CaCl2-like,Sun (2019),static
127.6,1953,CaCl2-like,Sun (2019),static
127.2,1906,CaCl2-like,Sun (2019),static
127,1803,CaCl2-like,Sun (2019),static
127,1654,CaCl2-like,Sun (2019),static
126.7,1598,CaCl2-like,Sun (2019),static
126.3,1425,CaCl2-like,Sun (2019),static
126.3,1323,CaCl2-like,Sun (2019),static
126.1,1213,CaCl2-like,Sun (2019),static
126.1,1102,CaCl2-like,Sun (2019),static
126.1,1047,CaCl2-like,Sun (2019),static
123.1,300,Seifertite,Sun (2019),static
129.5,300,Seifertite,Sun (2019),static
135.4,300,Seifertite,Sun (2019),static
114.1,300,Seifertite,Sun (2019),static
111.8,300,Seifertite,Sun (2019),static
116.7,300,Seifertite,Sun (2019),static
123,2400,Seifertite,Sun (2019),static
123.1,2300,Seifertite,Sun (2019),static
123.2,2500,Seifertite,Sun (2019),static
127.4,2250,Seifertite,Sun (2019),static
130.4,2200,Seifertite,Sun (2019),static
140.5,2200,Seifertite,Sun (2019),static
135.6,2260,Seifertite,Sun (2019),static
128,1950,Seifertite,Sun (2019),static
138.8,2000,Seifertite,Sun (2019),static
126.2,1320,Seifertite,Sun (2019),static
126.2,1800,Seifertite,Sun (2019),static
139.8,1660,Seifertite,Sun (2019),static
134.7,3030,Seifertite,Sun (2019),static
135.9,2700,Seifertite,Sun (2019),static
132.1,1953,Seifertite,Sun (2019),static
132.8,1748,Seifertite,Sun (2019),static
132.5,1654,Seifertite,Sun (2019),static
132.1,1575,Seifertite,Sun (2019),static
135,1606,Seifertite,Sun (2019),static
