P (GPa),T (K),Phase,Author,
26.9,2126,Bridgmanite,Kulka2020,
24.5,1273,Bridgmanite,Ito1989,
24,1273,Akimotoite,Ito1989,
23.5,1273,Akimotoite,Ito1989,
22.2,1273,Akimotoite,Ito1989,
24.8,1273,Bridgmanite,Ito1989,
24.8,1573,Bridgmanite,Ito1989,
24.5,1573,Bridgmanite,Ito1989,
24,1573,Bridgmanite,Ito1989,
23.5,1573,Akimotoite,Ito1989,
23.1,1673,Akimotoite,Ito1989,
24.5,1873,Bridgmanite,Ito1989,
24,1873,Bridgmanite,Ito1989,
23.1,1873,Bridgmanite,Ito1989,
22.8,1873,Akimotoite,Ito1989,
23.1,1873,Bridgmanite,Ito1989,
22.8,1873,Akimotoite,Ito1989,
24.5,1350,Bridgmanite,Ono2001,
24.4,1338,Bridgmanite,Ono2001,
24.1,1424,Bridgmanite,Ono2001,
24.3,1450,Bridgmanite,Ono2001,
24.3,1502,Bridgmanite,Ono2001,
24.2,1500,Bridgmanite,Ono2001,
24.1,1525,Bridgmanite,Ono2001,
24.2,1551,Bridgmanite,Ono2001,
24.3,1601,Bridgmanite,Ono2001,
24.2,1651,Bridgmanite,Ono2001,
23.8,1099,Akimotoite,Ono2001,
24.1,1199,Akimotoite,Ono2001,
24.3,1279,Akimotoite,Ono2001,
24.4,1298,Akimotoite,Ono2001,
24.4,1298,Akimotoite,Ono2001,
24.4,1298,Akimotoite,Ono2001,
24.3,1324,Akimotoite,Ono2001,
24.3,1324,Akimotoite,Ono2001,
24.4,1324,Akimotoite,Ono2001,
23.9,1374,Akimotoite,Ono2001,
23.7,1374,Akimotoite,Ono2001,
23.6,1324,Akimotoite,Ono2001,
23.9,1424,Akimotoite,Ono2001,
24,1426,Akimotoite,Ono2001,
24.3,1474,Akimotoite,Ono2001,
24.1,1474,Akimotoite,Ono2001,
24,1474,Akimotoite,Ono2001,
24.1,1500,Akimotoite,Ono2001,
15,1280,Clinoenstatite,Ito1985,
14.5,1455,Clinoenstatite,Ito1985,
15.5,1675,Clinoenstatite,Ito1985,
15.5,1281,Clinoenstatite,Ito1985,
15.5,1281,Wadsleyite+Stishovite,Ito1985,
16,1284,Wadsleyite+Stishovite,Ito1985,
16,1359,Wadsleyite+Stishovite,Ito1985,
16.1,1473,Wadsleyite+Stishovite,Ito1985,
17.1,1480,Wadsleyite+Stishovite,Ito1985,
18.1,1877,Wadsleyite+Stishovite,Ito1985,
19.1,1366,Ringwoodite+Stishovite,Ito1985,
17.5,1360,Wadsleyite+Stishovite,Ito1985,
17.5,1360,Ringwoodite+Stishovite,Ito1985,
19.1,1679,Ringwoodite+Stishovite,Ito1985,
20.1,1276,Akimotoite,Ito1985,
20,1881,Akimotoite,Ito1985,
19.1,1877,Akimotoite,Ito1985,
19.1,1877,Wadsleyite+Stishovite,Ito1985,
21.1,1473,Akimotoite,Kuroda2000-MA,
21.5,1473,Bridgmanite,Kuroda2000-MA,
21.9,1473,Bridgmanite,Kuroda2000-MA,
22.2,1473,Bridgmanite,Kuroda2000-MA,
19.5,1673,Akimotoite,Kuroda2000-MA,
20.6,1673,Akimotoite,Kuroda2000-MA,
21,1673,Bridgmanite,Kuroda2000-MA,
21.4,1673,Bridgmanite,Kuroda2000-MA,
21.8,1673,Bridgmanite,Kuroda2000-MA,
22.1,1673,Bridgmanite,Kuroda2000-MA,
19.4,1873,Akimotoite,Kuroda2000-MA,
19.9,1873,Akimotoite,Kuroda2000-MA,
20.3,1873,Bridgmanite,Kuroda2000-MA,
20.7,1873,Bridgmanite,Kuroda2000-MA,
21.1,1873,Bridgmanite,Kuroda2000-MA,
19.2,2073,Akimotoite,Kuroda2000-MA,
19.6,2073,Bridgmanite,Kuroda2000-MA,
20,2073,Bridgmanite,Kuroda2000-MA,
20.4,2073,Bridgmanite,Kuroda2000-MA,
20.8,2073,Bridgmanite,Kuroda2000-MA,
19.2,2273,Majorite,Kuroda2000-MA,
19.6,2273,Majorite,Kuroda2000-MA,
20,2273,Majorite,Kuroda2000-MA,
20.4,2273,Bridgmanite,Kuroda2000-MA,
20.8,2273,Bridgmanite,Kuroda2000-MA,
21.6,1173,Akimotoite,Kuroda2000-DAC,
21.8,1274,Akimotoite,Kuroda2000-DAC,
21.9,1276,Akimotoite,Kuroda2000-DAC,
22,1480,Akimotoite,Kuroda2000-DAC,
20.6,1680,Akimotoite,Kuroda2000-DAC,
20.7,1874,Akimotoite,Kuroda2000-DAC,
20.9,1575,Bridgmanite,Kuroda2000-DAC,
22,1377,Bridgmanite,Kuroda2000-DAC,
22.1,1377,Bridgmanite,Kuroda2000-DAC,
22.3,1377,Bridgmanite,Kuroda2000-DAC,
20.7,1779,Bridgmanite,Kuroda2000-DAC,
20.7,1975,Bridgmanite,Kuroda2000-DAC,
22.8,1900,Bridgmanite,Katsura2009,
22.9,1800,Bridgmanite,Katsura2009,
22.9,1700,Bridgmanite,Katsura2009,
22.5,1700,Bridgmanite,Katsura2009,
22.9,1600,Bridgmanite,Katsura2009,
23,1500,Bridgmanite,Katsura2009,
22.1,1500,Bridgmanite,Katsura2009,
21.6,1300,Bridgmanite,Katsura2009,
21.2,1100,Bridgmanite,Katsura2009,
20.6,900,Bridgmanite,Katsura2009,
20.1,700,Bridgmanite,Katsura2009,
19.7,500,Bridgmanite,Katsura2009,
19.3,306,Bridgmanite,Katsura2009,
18.9,300,Bridgmanite,Katsura2009,
30.1,2500,Bridgmanite,Katsura2009,
29.7,2300,Bridgmanite,Katsura2009,
29.2,2100,Bridgmanite,Katsura2009,
28.6,1900,Bridgmanite,Katsura2009,
26.1,1900,Bridgmanite,Katsura2009,
27.9,1700,Bridgmanite,Katsura2009,
25.5,1700,Bridgmanite,Katsura2009,
27.2,1500,Bridgmanite,Katsura2009,
24.7,1500,Bridgmanite,Katsura2009,
26.6,1300,Bridgmanite,Katsura2009,
24.2,1300,Bridgmanite,Katsura2009,
25.9,1100,Bridgmanite,Katsura2009,
23.5,1100,Bridgmanite,Katsura2009,
25.4,900,Bridgmanite,Katsura2009,
23,900,Bridgmanite,Katsura2009,
24.8,700,Bridgmanite,Katsura2009,
22.4,700,Bridgmanite,Katsura2009,
24.5,500,Bridgmanite,Katsura2009,
22.1,500,Bridgmanite,Katsura2009,
24.1,300,Bridgmanite,Katsura2009,
23.9,300,Bridgmanite,Katsura2009,
21.5,300,Bridgmanite,Katsura2009,
28.1,1600,Bridgmanite,Katsura2009,
29.2,1700,Bridgmanite,Katsura2009,
29.2,1800,Bridgmanite,Katsura2009,
29.8,1900,Bridgmanite,Katsura2009,
28.8,1700,Bridgmanite,Katsura2009,
28.5,1500,Bridgmanite,Katsura2009,
28.1,1300,Bridgmanite,Katsura2009,
27.6,1100,Bridgmanite,Katsura2009,
27.1,900,Bridgmanite,Katsura2009,
34.3,1700,Bridgmanite,Katsura2009,
35.1,1800,Bridgmanite,Katsura2009,
34.8,1700,Bridgmanite,Katsura2009,
34.3,1500,Bridgmanite,Katsura2009,
33.8,1300,Bridgmanite,Katsura2009,
33.4,1100,Bridgmanite,Katsura2009,
33,900,Bridgmanite,Katsura2009,
32.5,700,Bridgmanite,Katsura2009,
23.7,1700,Bridgmanite,Katsura2009,
24.4,1700,Bridgmanite,Katsura2009,
24,1500,Bridgmanite,Katsura2009,
23.6,1300,Bridgmanite,Katsura2009,
23.2,1100,Bridgmanite,Katsura2009,
22.7,900,Bridgmanite,Katsura2009,
22.2,700,Bridgmanite,Katsura2009,
21.8,500,Bridgmanite,Katsura2009,
21.4,304,Bridgmanite,Katsura2009,
24.5,1700,Bridgmanite,Katsura2009,
24.8,1700,Bridgmanite,Katsura2009,
25,1800,Bridgmanite,Katsura2009,
25,1800,Bridgmanite,Katsura2009,
25,1900,Bridgmanite,Katsura2009,
39.4,1900,Bridgmanite,Katsura2009,
39,1700,Bridgmanite,Katsura2009,
38.4,1500,Bridgmanite,Katsura2009,
51.4,1700,Bridgmanite,Katsura2009,
51.4,1500,Bridgmanite,Katsura2009,
50.9,1300,Bridgmanite,Katsura2009,
50.4,1100,Bridgmanite,Katsura2009,
49.7,900,Bridgmanite,Katsura2009,
49.2,700,Bridgmanite,Katsura2009,
48.6,500,Bridgmanite,Katsura2009,
48.2,304,Bridgmanite,Katsura2009,
52.6,1900,Bridgmanite,Katsura2009,
43.9,1700,Bridgmanite,Katsura2009,
43.4,1500,Bridgmanite,Katsura2009,
42.8,1300,Bridgmanite,Katsura2009,
42.5,1100,Bridgmanite,Katsura2009,
41.7,900,Bridgmanite,Katsura2009,
41.1,700,Bridgmanite,Katsura2009,
40.6,500,Bridgmanite,Katsura2009,
40.2,308,Bridgmanite,Katsura2009,
44.2,1700,Bridgmanite,Katsura2009,
28.9,305,Bridgmanite,Katsura2009,
21.2,1100,Akimotoite,Ono2017,
19.2,1150,Ringwoodite+Stishovite,Ono2017,
20,1150,Ringwoodite+Stishovite,Ono2017,
20.5,1150,Ringwoodite+Stishovite,Ono2017,
20.8,1150,Akimotoite,Ono2017,
19.1,1200,Ringwoodite+Stishovite,Ono2017,
20.8,1200,Akimotoite,Ono2017,
19,1250,Ringwoodite+Stishovite,Ono2017,
19.9,1300,Ringwoodite+Stishovite,Ono2017,
20.5,1300,Akimotoite,Ono2017,
20.7,1300,Akimotoite,Ono2017,
19.9,1350,Ringwoodite+Stishovite,Ono2017,
20.4,1350,Ringwoodite+Stishovite,Ono2017,
20.4,1400,Akimotoite,Ono2017,
20.2,1450,Ringwoodite+Stishovite,Ono2017,
15,1150,Clinoenstatite,Ono2018,
15.3,1200,Clinoenstatite,Ono2018,
17.1,1200,Ringwoodite+Stishovite,Ono2018,
15,1300,Clinoenstatite,Ono2018,
16.5,1300,Wadsleyite+Stishovite,Ono2018,
18.1,1300,Ringwoodite+Stishovite,Ono2018,
18.7,1300,Ringwoodite+Stishovite,Ono2018,
16.7,1350,Clinoenstatite,Ono2018,
17.3,1350,Wadsleyite+Stishovite,Ono2018,
18.1,1400,Wadsleyite+Stishovite,Ono2018,
6.5,1073,Orthoenstatite,Akashi2009,
8.6,1273,Clinoenstatite,Akashi2009,
6.2,1123,Orthoenstatite,Akashi2009,
8,1123,Clinoenstatite,Akashi2009,
6.8,1223,Orthoenstatite,Akashi2009,
8.2,1673,Orthoenstatite,Akashi2009,
9.5,1673,Clinoenstatite,Akashi2009,
8.8,1473,Clinoenstatite,Akashi2009,
8.3,1673,Orthoenstatite,Akashi2009,
8.3,1573,Clinoenstatite,Akashi2009,
7.1,1173,Clinoenstatite,Akashi2009,
7.3,1373,Orthoenstatite,Akashi2009,
6.8,1373,Orthoenstatite,Akashi2009,
9.1,1873,Orthoenstatite,Akashi2009,
9.2,1873,Orthoenstatite,Akashi2009,
7.3,1473,Orthoenstatite,Akashi2009,
7.3,1023,Clinoenstatite,Akashi2009,
0,300,L-Clinoenstatite,Shinmei2015,
1.4,300,L-Clinoenstatite,Shinmei2015,
4.2,300,L-Clinoenstatite,Shinmei2015,
7,300,L-Clinoenstatite,Shinmei2015,
8,300,L-Clinoenstatite,Shinmei2015,
8.3,300,L-Clinoenstatite,Shinmei2015,
9.7,300,L-Clinoenstatite,Shinmei2015,
7.7,573,L-Clinoenstatite,Shinmei2015,
7,873,L-Clinoenstatite,Shinmei2015,
6.6,1173,L-Clinoenstatite,Shinmei2015,
7.3,300,L-Clinoenstatite,Shinmei2015,
8.7,300,L-Clinoenstatite,Shinmei2015,
9.2,300,L-Clinoenstatite,Shinmei2015,
10.7,300,L-Clinoenstatite,Shinmei2015,
6.6,1173,Clinoenstatite,Shinmei2015,
7.3,300,Clinoenstatite,Shinmei2015,
8.7,300,Clinoenstatite,Shinmei2015,
9.2,300,Clinoenstatite,Shinmei2015,
10.7,300,Clinoenstatite,Shinmei2015,
11.2,573,Clinoenstatite,Shinmei2015,
11.3,873,Clinoenstatite,Shinmei2015,
9.2,300,Clinoenstatite,Shinmei2015,
9,300,Clinoenstatite,Shinmei2015,
10.2,573,Clinoenstatite,Shinmei2015,
11.4,873,Clinoenstatite,Shinmei2015,
11.8,1073,Clinoenstatite,Shinmei2015,
11.9,1273,Clinoenstatite,Shinmei2015,
11.1,1473,Clinoenstatite,Shinmei2015,
7.1,300,Clinoenstatite,Shinmei2015,
7,300,Clinoenstatite,Shinmei2015,
6.8,300,Clinoenstatite,Shinmei2015,
6,300,Clinoenstatite,Shinmei2015,
5.3,300,Clinoenstatite,Shinmei2015,
4,300,Clinoenstatite,Shinmei2015,
5,300,Clinoenstatite,Shinmei2015,
6.5,573,Clinoenstatite,Shinmei2015,
8.1,873,Clinoenstatite,Shinmei2015,
8.7,1173,Clinoenstatite,Shinmei2015,
5.7,1473,Orthoenstatite,Shinmei2015,
14.2,1473,Clinoenstatite,Pacalo1990,
10,1573,Clinoenstatite,Pacalo1990,
7.7,1573,Clinoenstatite,Pacalo1990,
8.7,1573,Orthoenstatite,Pacalo1990,
9.4,1573,Clinoenstatite,Pacalo1990,
8.2,1373,Orthoenstatite,Pacalo1990,
8.7,1373,Clinoenstatite,Pacalo1990,
6.4,1173,Orthoenstatite,Pacalo1990,
6.4,1173,Clinoenstatite,Pacalo1990,
8.5,1373,Clinoenstatite,Pacalo1990,
6.8,1223,Orthoenstatite,Pacalo1990,
10.3,1973,Orthoenstatite,Pacalo1990,
7.3,1223,Orthoenstatite,Pacalo1990,
10.7,1973,Clinoenstatite,Pacalo1990,
7.7,1223,Orthoenstatite,Pacalo1990,
7.3,1173,Orthoenstatite,Pacalo1990,
8.2,1223,Clinoenstatite,Pacalo1990,
7.7,1273,Orthoenstatite,Pacalo1990,
8.2,1273,Clinoenstatite,Pacalo1990,
9.6,1773,Orthoenstatite,Pacalo1990,
9.6,1773,Clinoenstatite,Pacalo1990,
7,1273,Orthoenstatite,Kanzaki1991,
7.7,1374,Orthoenstatite,Kanzaki1991,
7.7,1274,Clinoenstatite,Kanzaki1991,
8.4,1274,Clinoenstatite,Kanzaki1991,
9,1274,Clinoenstatite,Kanzaki1991,
9.4,1275,Clinoenstatite,Kanzaki1991,
9.4,1475,Clinoenstatite,Kanzaki1991,
9,1474,Clinoenstatite,Kanzaki1991,
8.4,1473,Clinoenstatite,Kanzaki1991,
8.9,1574,Clinoenstatite,Kanzaki1991,
8.4,1572,Clinoenstatite,Kanzaki1991,
9.4,1673,Clinoenstatite,Kanzaki1991,
9,1674,Clinoenstatite,Kanzaki1991,
8.4,1473,Orthoenstatite,Kanzaki1991,
8.9,1574,Orthoenstatite,Kanzaki1991,
8.4,1572,Orthoenstatite,Kanzaki1991,
9.4,1673,Orthoenstatite,Kanzaki1991,
9,1674,Orthoenstatite,Kanzaki1991,
13.2,1273,Clinoenstatite,Akimoto1977,
14.3,1273,Clinoenstatite,Akimoto1977,
17.2,1273,Clinoenstatite,Akimoto1977,
18,1273,Clinoenstatite,Akimoto1977,
19,1273,Clinoenstatite,Akimoto1977,
18,1273,Wadsleyite+Stishovite,Akimoto1977,
19,1273,Wadsleyite+Stishovite,Akimoto1977,
19,1273,Ringwoodite+Stishovite,Akimoto1977,
17.9,1473,Clinoenstatite,Akimoto1977,
19,1473,Clinoenstatite,Akimoto1977,
19,1473,Wadsleyite+Stishovite,Akimoto1977,
18.7,1573,Clinoenstatite,Akimoto1977,
19.5,1573,Clinoenstatite,Akimoto1977,
18.7,1573,Wadsleyite+Stishovite,Akimoto1977,
19.5,1573,Wadsleyite+Stishovite,Akimoto1977,
0.5,898,L-Clinoenstatite,Boyd1965,
1,922,L-Clinoenstatite,Boyd1965,
2,926,L-Clinoenstatite,Boyd1965,
2,899,L-Clinoenstatite,Boyd1965,
3,974,L-Clinoenstatite,Boyd1965,
3,948,L-Clinoenstatite,Boyd1965,
4,954,L-Clinoenstatite,Boyd1965,
4,926,L-Clinoenstatite,Boyd1965,
4,1001,L-Clinoenstatite,Boyd1965,
0.5,947,Orthoenstatite,Boyd1965,
2,1026,Orthoenstatite,Boyd1965,
2,975,Orthoenstatite,Boyd1965,
3,1001,Orthoenstatite,Boyd1965,
4,1051,Orthoenstatite,Boyd1965,
4,1028,Orthoenstatite,Boyd1965,
2,951,Orthoenstatite,Boyd1965,
4,973,Orthoenstatite,Boyd1965,
2,951,L-Clinoenstatite,Boyd1965,
4,973,L-Clinoenstatite,Boyd1965,
22.48539151,2659.680561,Liquid,Zerr1993,
24.18711856,2795.130503,Liquid,Zerr1993,
26.37709388,2994.624075,Liquid,Zerr1993,
30.19413063,3402.220491,Liquid,Zerr1993,
30.67199065,3337.241917,Liquid,Zerr1993,
31.56732892,3457.343202,Liquid,Zerr1993,
35.13180106,3728.087261,Liquid,Zerr1993,
36.99065056,3814.998052,Liquid,Zerr1993,
39.63121673,3610.829762,Liquid,Zerr1993,
41.51408908,3996.104402,Liquid,Zerr1993,
48.92935982,4093.767043,Liquid,Zerr1993,
52.01142709,4373.042462,Liquid,Zerr1993,
62.28866381,5016.322556,Liquid,Zerr1993,
22.48539151,2459.680561,Majorite,Zerr1993,
24.18711856,2595.130503,Majorite,Zerr1993,
26.37709388,2794.624075,Bridgmanite,Zerr1993,
30.19413063,3202.220491,Bridgmanite,Zerr1993,
30.67199065,3137.241917,Bridgmanite,Zerr1993,
31.56732892,3257.343202,Bridgmanite,Zerr1993,
35.13180106,3528.087261,Bridgmanite,Zerr1993,
36.99065056,3614.998052,Bridgmanite,Zerr1993,
39.63121673,3410.829762,Bridgmanite,Zerr1993,
41.51408908,3796.104402,Bridgmanite,Zerr1993,
48.92935982,3893.767043,Bridgmanite,Zerr1993,
52.01142709,4173.042462,Bridgmanite,Zerr1993,
62.28866381,4816.322556,Bridgmanite,Zerr1993,
20,2033,Akimotoite,Kato1985,
20,2273,Majorite,Kato1985,
20,2523,Liquid,Kato1985,
349.3258969,5289.223267,Post-perovskite,Fei2021,
423.2709295,7217.91131,Post-perovskite,Fei2021,
501.5031653,9407.109059,Post-perovskite,Fei2021,"? Solid phase unknown, ppv assumed"
717.1952393,11833.66488,Liquid,Fei2021,
857.9756308,15508.59501,Liquid,Fei2021,
910.6100902,17020.15391,Liquid,Fei2021,
122.9,2890,Bridgmanite,Tateno2009,
129.1,3750,Bridgmanite,Tateno2009,
139.4,3680,Post-perovskite,Tateno2009,
144,3960,Post-perovskite,Tateno2009,
136.1,1640,Post-perovskite,Tateno2009,
146.4,2560,Post-perovskite,Tateno2009,
145.1,3200,Post-perovskite,Tateno2009,
158.5,2690,Post-perovskite,Tateno2009,
169.1,4100,Post-perovskite,Tateno2009,
171,4380,Post-perovskite,Tateno2009,
149.3,4200,Bridgmanite,Tateno2009,
131.7,3680,Bridgmanite,Tateno2009,
119,2520,Bridgmanite,Tateno2009,
133.2,2170,Post-perovskite,Tateno2009,
135.8,2750,Post-perovskite,Tateno2009,
140.2,3730,Post-perovskite,Tateno2009,
140.2,3730,Bridgmanite,Tateno2009,
112.5,1900,Bridgmanite,Ono2005,
113.3,2130,Bridgmanite,Ono2005,
114.6,2190,Bridgmanite,Ono2005,
115.7,2520,Bridgmanite,Ono2005,
117.2,2300,Bridgmanite,Ono2005,
118.9,2240,Bridgmanite,Ono2005,
119.9,2060,Bridgmanite,Ono2005,
120.1,2570,Bridgmanite,Ono2005,
120.9,2770,Bridgmanite,Ono2005,
121.3,2620,Bridgmanite,Ono2005,
121.7,2520,Bridgmanite,Ono2005,
123,2930,Bridgmanite,Ono2005,
126.1,1600,Post-perovskite,Ono2005,
127.2,2360,Bridgmanite,Ono2005,
127.4,1970,Post-perovskite,Ono2005,
127.3,2070,Post-perovskite,Ono2005,
127.8,1820,Post-perovskite,Ono2005,
128.6,2780,Bridgmanite,Ono2005,
128.8,1620,Post-perovskite,Ono2005,
129,1890,Post-perovskite,Ono2005,
129.2,3100,Bridgmanite,Ono2005,
129.9,1510,Post-perovskite,Ono2005,
129.9,2090,Post-perovskite,Ono2005,
130.4,1660,Post-perovskite,Ono2005,
130.4,1830,Post-perovskite,Ono2005,
130.5,1750,Post-perovskite,Ono2005,
130.5,1940,Post-perovskite,Ono2005,
130.7,1620,Post-perovskite,Ono2005,
131.2,1860,Post-perovskite,Ono2005,
131.2,2210,Post-perovskite,Ono2005,
131.3,1620,Post-perovskite,Ono2005,
131.5,1740,Post-perovskite,Ono2005,
131.5,1870,Post-perovskite,Ono2005,
131.6,1890,Post-perovskite,Ono2005,
131.9,1720,Post-perovskite,Ono2005,
132,1780,Post-perovskite,Ono2005,
132.3,2770,Post-perovskite,Ono2005,
132.4,1570,Post-perovskite,Ono2005,
132.4,1620,Post-perovskite,Ono2005,
133,2030,Post-perovskite,Ono2005,
133.3,2360,Post-perovskite,Ono2005,
133.3,3350,Bridgmanite,Ono2005,
121.4,300,Post-perovskite,Ono2006,
134.4,300,Post-perovskite,Ono2006,
139.7,300,Post-perovskite,Ono2006,
145.9,300,Post-perovskite,Ono2006,
147.7,300,Post-perovskite,Ono2006,
151.1,300,Post-perovskite,Ono2006,
111.1,300,Post-perovskite,Guignot2007,
114.8,300,Post-perovskite,Guignot2007,
115.4,300,Post-perovskite,Guignot2007,
117.4,300,Post-perovskite,Guignot2007,
118.5,300,Post-perovskite,Guignot2007,
118.2,300,Post-perovskite,Guignot2007,
117.9,300,Post-perovskite,Guignot2007,
121.7,300,Post-perovskite,Guignot2007,
123,300,Post-perovskite,Guignot2007,
123.3,300,Post-perovskite,Guignot2007,
