Pressure,Temperature,Phase,Author,Starting material,Heating time,Pressure scale,EoS,Pressure medium,Notes,,,,,,,,,
60.70754717,1313.609467,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
60.70754717,1414.201183,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.13207547,1550.295858,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.27358491,1639.053254,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.41509434,1822.485207,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.13207547,1869.822485,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.13207547,1911.242604,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
60.99056604,2023.668639,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.69811321,2100.591716,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.41509434,2165.680473,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.55660377,2213.017751,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
61.41509434,2360.946746,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
62.12264151,2585.798817,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
62.68867925,2786.982249,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
62.68867925,3124.260355,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
62.83018868,3236.686391,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.94339623,1396.449704,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
66.08490566,1485.207101,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.94339623,1573.964497,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.80188679,1710.059172,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.80188679,1828.402367,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.66037736,1970.414201,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.80188679,2059.171598,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.80188679,2183.431953,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.66037736,2260.35503,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.80188679,2325.443787,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.43396226,2053.254438,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.29245283,2136.094675,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.43396226,2254.43787,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.71698113,2355.029586,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.29245283,2455.621302,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
73.86792453,2621.301775,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
60.70754717,1065.088757,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
66.08490566,1142.011834,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
66.08490566,1207.100592,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
65.80188679,1319.526627,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.29245283,1295.857988,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.29245283,1378.698225,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.1509434,1485.207101,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.5754717,1609.467456,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.43396226,1733.727811,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.5754717,1857.988166,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
74.43396226,1952.662722,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
84.48113208,1266.272189,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
84.48113208,1319.526627,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
84.48113208,1449.704142,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
84.90566038,1573.964497,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
85.04716981,1680.473373,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
85.61320755,1775.147929,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
85.61320755,1863.905325,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
86.17924528,2053.254438,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
86.03773585,2142.011834,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
86.74528302,2254.43787,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
87.16981132,2384.615385,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
88.01886792,2550.295858,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
88.72641509,2639.053254,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
88.86792453,2733.727811,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
88.30188679,2834.319527,CaCl2-like,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
9.67,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,The sintered polycrystalline stishovite was synthesized from silica glass rod,,,,,,,,,
11.38,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
13.99,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
15.77,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
17.74,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
19.59,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
21.4,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
