Pressure,Temperature,Phase,Author,Notes
5,4040,B1,Zhang (2008),
7,4340,B1,Zhang (2008),
3,3700,Liquid,Du (2014),
11,3950,Liquid,Du (2014),
27,5100,Liquid,Du (2014),
40,6200,Liquid,Du (2014),
3,3200,B1,Du (2014),
11,3450,B1,Du (2014),
27,4400,B1,Du (2014),
40,5400,B1,Du (2014),
19.77777778,1477.419355,B1,Ye (2017),
24.22222222,1529.032258,B1,Ye (2017),
19.55555556,1593.548387,B1,Ye (2017),
22.66666667,1683.870968,B1,Ye (2017),
24.88888889,1645.16129,B1,Ye (2017),
26,1574.193548,B1,Ye (2017),
27.55555556,1606.451613,B1,Ye (2017),
28.22222222,1709.677419,B1,Ye (2017),
25.77777778,1722.580645,B1,Ye (2017),
27.11111111,1658.064516,B1,Ye (2017),
27.55555556,1670.967742,B1,Ye (2017),
27.11111111,1690.322581,B1,Ye (2017),
25.77777778,1703.225806,B1,Ye (2017),
27.33333333,1761.290323,B1,Ye (2017),
28.66666667,1658.064516,B1,Ye (2017),
26,1645.16129,B1,Ye (2017),
26.66666667,1709.677419,B1,Ye (2017),
19.55555556,1812.903226,B1,Ye (2017),
19.33333333,1825.806452,B1,Ye (2017),
20.44444444,1780.645161,B1,Ye (2017),
20.66666667,1774.193548,B1,Ye (2017),
24.66666667,1825.806452,B1,Ye (2017),
22,1793.548387,B1,Ye (2017),
22.88888889,1883.870968,B1,Ye (2017),
23.33333333,1851.612903,B1,Ye (2017),
24.22222222,1870.967742,B1,Ye (2017),
22.66666667,1870.967742,B1,Ye (2017),
28.66666667,1819.354839,B1,Ye (2017),
26.22222222,1858.064516,B1,Ye (2017),
30,1877.419355,B1,Ye (2017),
28.66666667,1864.516129,B1,Ye (2017),
29.33333333,1922.580645,B1,Ye (2017),
29.11111111,1935.483871,B1,Ye (2017),
24.44444444,1987.096774,B1,Ye (2017),
26.44444444,1967.741935,B1,Ye (2017),
22.88888889,2019.354839,B1,Ye (2017),
20,2077.419355,B1,Ye (2017),
19.77777778,2045.16129,B1,Ye (2017),
19.77777778,2032.258065,B1,Ye (2017),
19.77777778,2019.354839,B1,Ye (2017),
22.88888889,2083.870968,B1,Ye (2017),
22.22222222,2122.580645,B1,Ye (2017),
24.22222222,2077.419355,B1,Ye (2017),
21.55555556,1967.741935,B1,Ye (2017),
22.22222222,2012.903226,B1,Ye (2017),
35.11111111,2303.225806,B1,Ye (2017),
33.33333333,2038.709677,B1,Ye (2017),
32.88888889,1922.580645,B1,Ye (2017),
32.44444444,1870.967742,B1,Ye (2017),
32,1767.741935,B1,Ye (2017),
34.44444444,1761.290323,B1,Ye (2017),
32.22222222,1761.290323,B1,Ye (2017),
31.55555556,1593.548387,B1,Ye (2017),
32.66666667,1632.258065,B1,Ye (2017),
34.66666667,1651.612903,B1,Ye (2017),
36,1638.709677,B1,Ye (2017),
34.22222222,1606.451613,B1,Ye (2017),
33.77777778,1529.032258,B1,Ye (2017),
34.22222222,1522.580645,B1,Ye (2017),
35.77777778,1496.774194,B1,Ye (2017),
33.11111111,1464.516129,B1,Ye (2017),
38.44444444,1587.096774,B1,Ye (2017),
38.44444444,1567.741935,B1,Ye (2017),
39.77777778,1638.709677,B1,Ye (2017),
40,1735.483871,B1,Ye (2017),
39.11111111,1683.870968,B1,Ye (2017),
37.77777778,1735.483871,B1,Ye (2017),
38,1819.354839,B1,Ye (2017),
37.77777778,1909.677419,B1,Ye (2017),
40.44444444,1980.645161,B1,Ye (2017),
35.33333333,1806.451613,B1,Ye (2017),
41.77777778,2096.774194,B1,Ye (2017),
41.77777778,2058.064516,B1,Ye (2017),
17.33333333,300,B1,Ye (2017),
18.66666667,300,B1,Ye (2017),
19.11111111,300,B1,Ye (2017),
20.44444444,300,B1,Ye (2017),
20.88888889,300,B1,Ye (2017),
22.66666667,300,B1,Ye (2017),
22.88888889,300,B1,Ye (2017),
23.11111111,300,B1,Ye (2017),
23.55555556,300,B1,Ye (2017),
24,300,B1,Ye (2017),
24.44444444,300,B1,Ye (2017),
25.33333333,300,B1,Ye (2017),
28.88888889,300,B1,Ye (2017),
30.66666667,300,B1,Ye (2017),
37.11111111,300,B1,Ye (2017),
40.88888889,300,B1,Ye (2017),
41.77777778,300,B1,Ye (2017),
45.11111111,300,B1,Ye (2017),
43.11111111,300,B1,Ye (2017),
43.77777778,300,B1,Ye (2017),
42.66666667,300,B1,Ye (2017),
48.66666667,300,B1,Ye (2017),
49.77777778,300,B1,Ye (2017),
52.88888889,300,B1,Ye (2017),
52.22222222,300,B1,Ye (2017),
55.11111111,300,B1,Ye (2017),
56.44444444,300,B1,Ye (2017),
58.66666667,300,B1,Ye (2017),
60,300,B1,Ye (2017),
63.55555556,300,B1,Ye (2017),
62.22222222,300,B1,Ye (2017),
62.66666667,300,B1,Ye (2017),
66,300,B1,Ye (2017),
64.44444444,300,B1,Ye (2017),
69.55555556,300,B1,Ye (2017),
50.66666667,2148.387097,B1,Ye (2017),
50.66666667,2109.677419,B1,Ye (2017),
50.66666667,2058.064516,B1,Ye (2017),
51.11111111,2012.903226,B1,Ye (2017),
51.11111111,1993.548387,B1,Ye (2017),
50,1980.645161,B1,Ye (2017),
51.11111111,2006.451613,B1,Ye (2017),
50.66666667,1851.612903,B1,Ye (2017),
48.22222222,1806.451613,B1,Ye (2017),
50.44444444,1793.548387,B1,Ye (2017),
48.66666667,1741.935484,B1,Ye (2017),
50.22222222,1703.225806,B1,Ye (2017),
48.44444444,1670.967742,B1,Ye (2017),
48.22222222,1600,B1,Ye (2017),
50.66666667,1593.548387,B1,Ye (2017),
50.44444444,1554.83871,B1,Ye (2017),
50.22222222,1593.548387,B1,Ye (2017),
54.88888889,1664.516129,B1,Ye (2017),
54.22222222,1632.258065,B1,Ye (2017),
54.44444444,1612.903226,B1,Ye (2017),
55.33333333,1612.903226,B1,Ye (2017),
57.55555556,1664.516129,B1,Ye (2017),
56.66666667,1670.967742,B1,Ye (2017),
58.66666667,1748.387097,B1,Ye (2017),
58.44444444,1716.129032,B1,Ye (2017),
55.55555556,1800,B1,Ye (2017),
55.55555556,1787.096774,B1,Ye (2017),
59.55555556,1838.709677,B1,Ye (2017),
58.66666667,1800,B1,Ye (2017),
58.44444444,1735.483871,B1,Ye (2017),
59.77777778,1929.032258,B1,Ye (2017),
58,1909.677419,B1,Ye (2017),
56.22222222,1974.193548,B1,Ye (2017),
56,2032.258065,B1,Ye (2017),
58.44444444,1974.193548,B1,Ye (2017),
55.77777778,1961.290323,B1,Ye (2017),
55.55555556,1935.483871,B1,Ye (2017),
61.11111111,2058.064516,B1,Ye (2017),
61.77777778,2161.290323,B1,Ye (2017),
62.22222222,2290.322581,B1,Ye (2017),
72.22222222,2412.903226,B1,Ye (2017),
72,2361.290323,B1,Ye (2017),
71.11111111,2245.16129,B1,Ye (2017),
67.55555556,2083.870968,B1,Ye (2017),
67.33333333,1993.548387,B1,Ye (2017),
69.33333333,1987.096774,B1,Ye (2017),
72.22222222,1993.548387,B1,Ye (2017),
72.44444444,1903.225806,B1,Ye (2017),
72.44444444,1941.935484,B1,Ye (2017),
66,1883.870968,B1,Ye (2017),
65.33333333,1819.354839,B1,Ye (2017),
65.11111111,1787.096774,B1,Ye (2017),
64.22222222,1677.419355,B1,Ye (2017),
66.44444444,1664.516129,B1,Ye (2017),
66.44444444,1729.032258,B1,Ye (2017),
69.77777778,1722.580645,B1,Ye (2017),
70,1664.516129,B1,Ye (2017),
71.33333333,1683.870968,B1,Ye (2017),
69.33333333,1696.774194,B1,Ye (2017),
68.44444444,1812.903226,B1,Ye (2017),
66.44444444,1800,B1,Ye (2017),
67.11111111,1761.290323,B1,Ye (2017),
68,1754.83871,B1,Ye (2017),
67.11111111,1800,B1,Ye (2017),
68,1858.064516,B1,Ye (2017),
68.88888889,1883.870968,B1,Ye (2017),
71.77777778,1812.903226,B1,Ye (2017),
71.55555556,1864.516129,B1,Ye (2017),
76.66666667,1993.548387,B1,Ye (2017),
76.44444444,1948.387097,B1,Ye (2017),
76,1896.774194,B1,Ye (2017),
75.11111111,1787.096774,B1,Ye (2017),
75.33333333,1800,B1,Ye (2017),
75.55555556,1819.354839,B1,Ye (2017),
75.77777778,1838.709677,B1,Ye (2017),
76.44444444,1851.612903,B1,Ye (2017),
76,1851.612903,B1,Ye (2017),
75.77777778,1709.677419,B1,Ye (2017),
75.33333333,1619.354839,B1,Ye (2017),
75.55555556,1612.903226,B1,Ye (2017),
88.88888889,2154.83871,B1,Ye (2017),
88.66666667,2096.774194,B1,Ye (2017),
86.88888889,1948.387097,B1,Ye (2017),
87.33333333,1903.225806,B1,Ye (2017),
86,1877.419355,B1,Ye (2017),
86.44444444,1851.612903,B1,Ye (2017),
86.44444444,1819.354839,B1,Ye (2017),
85.77777778,1741.935484,B1,Ye (2017),
137.7777778,2503.225806,B1,Ye (2017),
136.4444444,2245.16129,B1,Ye (2017),
135.7777778,2187.096774,B1,Ye (2017),
131.3333333,2129.032258,B1,Ye (2017),
135.5555556,2051.612903,B1,Ye (2017),
128,2038.709677,B1,Ye (2017),
126.4444444,2432.258065,B1,Ye (2017),
129.5555556,2348.387097,B1,Ye (2017),
125.5555556,2341.935484,B1,Ye (2017),
125.5555556,2296.774194,B1,Ye (2017),
123.7777778,2251.612903,B1,Ye (2017),
124.4444444,2270.967742,B1,Ye (2017),
124.6666667,2180.645161,B1,Ye (2017),
123.1111111,2096.774194,B1,Ye (2017),
122.8888889,2025.806452,B1,Ye (2017),
120.2222222,1980.645161,B1,Ye (2017),
123.7777778,1883.870968,B1,Ye (2017),
124.2222222,1909.677419,B1,Ye (2017),
124.2222222,1941.935484,B1,Ye (2017),
